Country,Year,Area_Harvested_ha,Production_t,Yield_kg_ha,Data_Status,Production_Growth_pct,Yield_Growth_pct
Chile,2010,7298.0,56000.0,7673.3,Estimated,,
Chile,2011,7298.0,74000.0,10139.8,Estimated,32.14285714285714,32.1439276452113
Chile,2012,12376.0,78000.0,6302.5,Estimated,5.405405405405395,-37.843941695102465
Chile,2013,14723.0,82000.0,5569.5,Estimated,5.128205128205132,-11.63030543435145
Chile,2014,14476.0,88000.0,6079.0,Estimated,7.317073170731714,9.14803842355687
Chile,2015,14573.0,93000.0,6381.7,Estimated,5.681818181818188,4.9794374074683345
Chile,2016,15801.0,116000.0,7341.3,Estimated,24.731182795698924,15.036745694720842
Chile,2017,15707.0,95000.0,6048.3,Estimated,-18.103448275862068,-17.612684401945156
Chile,2018,15815.0,126000.0,7967.1,Estimated,32.63157894736841,31.724616834482422
Chile,2019,18373.0,130004.33,7075.8,Estimated,3.1780396825396906,-11.187257596867116
Chile,2020,18375.0,127050.73,6914.3,Estimated,-2.271924327443564,-2.2824274287006396
Chile,2021,18216.0,127000.0,6971.9,Estimated,-0.03992893232490635,0.8330561300493144
Chile,2022,17822.0,124296.55,6974.3,Estimated,-2.1287007874015718,0.03442390166239484
Chile,2023,17631.0,122332.6,6938.5,Estimated,-1.580051900072843,-0.5133131640451372
Chile,2024,14038.0,97218.79,6925.4,Estimated,-20.529123062863054,-0.1888016141817439
Mexico,2010,106.0,1059.0,9990.6,Reported,,
Mexico,2011,636.0,6704.0,10540.9,Reported,533.0500472143532,5.508177687025806
Mexico,2012,885.0,7191.0,8125.4,Reported,7.2643198090692085,-22.915500573954784
Mexico,2013,1290.0,10160.0,7876.0,Reported,41.287720762063685,-3.0693873532379956
Mexico,2014,1803.0,18031.41,10000.4,Reported,77.47450787401576,26.973082783138636
Mexico,2015,2031.0,15488.54,7625.8,Reported,-14.102446785914125,-23.74505019799208
Mexico,2016,2946.0,29066.69,9865.4,Reported,87.66578386342417,29.368721970153942
Mexico,2017,3334.0,36699.7,11007.2,Reported,26.260334424043453,11.573783120806059
Mexico,2018,3611.0,40251.34,11146.4,Reported,9.677572296231297,1.2646267897376218
Mexico,2019,4319.0,48998.58,11343.9,Reported,21.73154980678906,1.7718725328357054
Mexico,2020,4610.0,50292.63,10909.5,Reported,2.6409949023012524,-3.8293708512945224
Mexico,2021,5833.0,66481.52,11398.1,Reported,32.189388385534826,4.478665383381464
Mexico,2022,4331.0,66846.62,15434.5,Reported,0.5491751692801028,35.412919697142506
Mexico,2023,5836.0,80133.49,13731.6,Reported,19.87665195338224,-11.033075253490555
Mexico,2024,5843.0,80533.93,13783.7,Reported,0.49971616112063355,0.3794168195985881
Peru,2010,32.0,30.0,937.5,Reported,,
Peru,2011,280.0,320.0,1142.9,Reported,966.6666666666666,21.909333333333336
Peru,2012,400.0,560.0,1400.0,Reported,75.0,22.49540642225916
Peru,2013,650.0,1668.0,2566.2,Reported,197.85714285714286,83.3
Peru,2014,300.0,2500.0,8333.3,Reported,49.88009592326139,224.7330683500896
Peru,2015,1158.0,10585.0,9140.8,Reported,323.4,9.69003876015504
Peru,2016,1945.0,22978.29,11814.0,Reported,117.08351440717996,29.24470505863821
Peru,2017,4134.0,52301.0,12651.4,Reported,127.61049669057184,7.088200440155745
Peru,2018,6011.0,94805.0,15771.9,Reported,81.26804458805759,24.665254438243988
Peru,2019,11027.0,147900.0,13412.5,Estimated,56.004430146089334,-14.959516608652091
Peru,2020,14278.0,179305.0,12558.1,Estimated,21.2339418526031,-6.370177073625349
Peru,2021,18168.0,228160.0,12558.1,Estimated,27.24686985862079,0.0
Peru,2022,23298.0,292584.0,12558.1,Estimated,28.23632538569425,0.0
Peru,2023,18266.0,229390.0,12558.1,Estimated,-21.598583654608593,0.0
Peru,2024,28157.0,353600.0,12558.1,Estimated,54.147957626749196,0.0
Spain,2010,522.0,6696.49,12819.3,Estimated,,
Spain,2011,547.0,6857.91,12546.3,Estimated,2.4105165541948192,-2.1296014602981472
Spain,2012,572.0,7019.33,12273.3,Estimated,2.353778337715129,-2.1759403170655944
Spain,2013,975.0,11911.59,12213.2,Estimated,69.69696537988668,-0.4896808519306073
Spain,2014,1760.0,21060.0,11968.2,Estimated,76.80259310469886,-2.0060262666622974
Spain,2015,1803.0,21060.0,11680.5,Reported,0.0,-2.403870256178875
Spain,2016,2260.0,24945.0,11037.6,Reported,18.447293447293454,-5.504045203544361
Spain,2017,3260.0,35355.0,10845.1,Reported,41.73180998196031,-1.7440385591070529
Spain,2018,3720.0,43520.0,11698.9,Reported,23.094328949229247,7.8726798277563015
Spain,2019,4030.0,53380.0,13245.7,Reported,22.65625,13.221755891579567
Spain,2020,4210.0,48520.0,11524.9,Reported,-9.104533533158488,-12.991385883720763
Spain,2021,4570.0,61230.0,13398.2,Reported,26.195383347073363,16.254370970680874
Spain,2022,4810.0,70420.0,14640.3,Reported,15.0089825249061,9.270648296039763
Spain,2023,4890.0,57670.0,11793.5,Reported,-18.10565180346493,-19.444956729028775
Spain,2024,5180.0,60950.0,11766.4,Reported,5.687532512571525,-0.22978759486157463
